model,case_id,loss_ML,loss_MH,loss_MLrbf,loss_MHpca4
Qwen,B030,0.4427996968090177,0.4114187535946713,0.4522679344851398,0.5250888420754806
Qwen,B033,0.4558481307453139,0.4204200431722297,0.5354949937275981,0.45097681058257616
Qwen,B034,0.47773969430473323,0.373303367479724,0.4188266825967579,0.5476391671621604
Qwen,B035,0.42767451063263257,0.7094674904765614,0.5129927655391088,0.585183177661949
Qwen,B036,0.31794320655207475,0.2590255960397906,0.35700532844338173,0.3791496869117451
Qwen,B037,0.5355651573645546,0.5598921487275993,0.497046163156213,0.5510279459969678
Qwen,B038,0.3649271088836631,0.6059642425465783,0.34260188862223917,0.3623492927500889
Qwen,B039,0.2856164305030261,0.40922435107425176,0.28522833595094554,0.35721243774391837
Qwen,B040,1.1042938569673404,0.8223463403325191,1.1191270869821204,1.0248954651834787
Qwen,C003,0.1064168593540767,0.09502513418202078,0.11119787635503517,0.08673884077828595
Qwen,C004,0.08566929551095623,0.06888339542258501,0.11500459719729506,0.04954024390080625
Qwen,C005,0.07094061808438613,0.07061224017313168,0.15450177494660372,0.05565911269975347
Qwen,C006,0.09975548787007271,0.024694428036761563,0.1370201267847167,0.07304026622523457
Qwen,C007,0.34372795002835554,0.505317037276221,0.40574842117061244,0.3473832412374277
Qwen,C008,0.09075984276685926,0.09847947316589291,0.17109600012791715,0.06891210121794737
Qwen,C009,0.10824510062232835,0.0926544012063493,0.11784605573197784,0.07843906541193044
Qwen,C010,0.0809980606028727,0.07010060499343161,0.11784006246387517,0.039027185403226965
Qwen,C013,0.10065586221466274,0.24786164761359536,0.13570217211661156,0.09297945093783613
Qwen,C014,0.0846095442376665,0.04099406554848345,0.10075439341713203,0.12419125693892985
Qwen,C015,0.411791326222079,0.29658852112874234,0.26498713843594085,0.34654154825078376
Qwen,C016,0.3889014732373202,0.18051711247331753,0.27845649195637456,0.29827665588594376
Qwen,C017,1.3753902701000773,0.8518271252842858,1.1605904147997177,1.5625879900402437
Qwen,C018,0.07374999204528936,0.08908069815373695,0.10942636727733875,0.07884392278233894
Qwen,C019,1.557207419221021,1.0953636321627698,1.2342912324040158,1.809045826318604
Qwen,C020,0.3315756079953688,0.10998846732946824,0.21485546528667626,0.27715693986237755
Qwen,C023,0.10124337235793465,0.08138892685646262,0.13344548683508364,0.09405112417679976
Qwen,C024,0.13418807660650142,0.15327429125754746,0.17146734379604048,0.0868727418291229
Qwen,C025,0.11070956676896566,0.08719952114602654,0.10113103039487892,0.09532594881361038
Qwen,C026,0.10961650879032565,0.15384684117456507,0.19129404530114524,0.11839191276076164
Qwen,C027,0.34183347023194366,0.3896774283487403,0.27457251733026333,0.32346475901751204
Qwen,C028,0.11173387024956691,0.10998196823908542,0.098536434869695,0.08464722816951589
Qwen,C029,0.13740099482461812,0.12245135895520945,0.20848444323480667,0.10487370493905852
Qwen,C030,0.3401381052301745,0.3417165932673825,0.32934751265807705,0.3194736247303625
Qwen,C033,0.10497137363804854,0.057529967846609666,0.14337716195920436,0.08291863505688978
Qwen,C034,0.10207959191033848,0.06005437427547666,0.15923000559016826,0.07019453399326263
Qwen,C035,0.1087950488217859,0.03876999445683142,0.10006509732603178,0.0676356541302116
Qwen,C036,0.07531421718158385,0.06909620976666496,0.14561250163057446,0.0554696968877499
Qwen,C037,0.08920415118545193,0.10190232993999793,0.1732878754676725,0.09918942853605045
Qwen,C038,0.10127571995457421,0.0344829047008395,0.1243350003405046,0.10386028974740802
Qwen,C039,0.1079517515912793,0.0643270474660814,0.11952397048886951,0.09059047115307735
Qwen,C040,0.09798161347153947,0.08309414151248756,0.2031798463282989,0.10283991205530252
Qwen,D003,0.2581530862197198,0.29934458282605375,0.24170334133915716,0.2571974282199174
Qwen,D004,0.417674746040683,0.1545980861065797,0.32500830798481933,0.29335475798690425
Qwen,D005,0.33908140138936455,0.15846507680944857,0.2879949590321324,0.30215101179871995
Qwen,D006,0.4039006142297941,0.442797632105572,0.5697170715836387,0.3998648767073741
Qwen,D007,0.43614701089898045,0.3562797264096892,0.5007348538508539,0.349475483969596
Qwen,D008,0.4851958795803214,0.3241869520892645,0.5127116428598775,0.41325163615177984
Qwen,D009,0.39563929399894643,0.4855312802292193,0.4217149353508157,0.3608095503125662
Qwen,D013,0.6609139540231342,0.5734284973055054,0.5331225725132053,0.6967854498943817
Qwen,D014,0.6870788447724092,0.616192336472586,0.5923115350499092,0.647736488845912
Qwen,D015,0.4149822958509256,0.38505065712290976,0.46787874720710027,0.3895805330126431
Qwen,D016,0.32871688240884234,0.3276899885082641,0.25566145929925144,0.28225960612360057
Qwen,D017,0.6366651116610949,0.4762514948902508,0.5934953340598097,0.65419064323758
Qwen,D018,1.9665455837451078,1.3362611830508526,2.013607420188602,1.9253233425236982
Qwen,D019,0.2944512271014278,0.30774615163441965,0.27088743115879127,0.3055871775695477
